scenario,seed,policy,eviction_penalty,requests,prefill_tokens_total,prefill_tokens_p95,cache_hit_ratio,evicted_tokens_total
mixed,13,cost-aware-0.5,0.5,1000.0,93147.0,208.04999999999995,0.21178760313094985,91787.0
mixed,13,cost-aware-1.0,1.0,1000.0,93147.0,208.04999999999995,0.21178760313094985,91787.0
mixed,14,LRU,0.0,1000.0,97914.0,224.04999999999995,0.1910340725073532,97494.0
mixed,14,upstream-LCP,0.0,1000.0,86057.0,196.04999999999995,0.2889966621501041,85637.0
mixed,14,cost-aware-0.25,0.25,1000.0,93093.0,207.0999999999999,0.23086519713143197,91793.0
mixed,14,cost-aware-0.5,0.5,1000.0,93093.0,207.0999999999999,0.23086519713143197,91793.0
mixed,14,cost-aware-1.0,1.0,1000.0,93093.0,207.0999999999999,0.23086519713143197,91793.0
mixed,15,LRU,0.0,1000.0,97486.0,213.0,0.19667416545120434,97115.0
mixed,15,upstream-LCP,0.0,1000.0,86427.0,198.0999999999999,0.28780499864033027,85961.0
mixed,15,cost-aware-0.25,0.25,1000.0,95581.0,211.0,0.21237217044490042,94425.0
mixed,15,cost-aware-0.5,0.5,1000.0,95581.0,211.0,0.21237217044490042,94425.0
mixed,15,cost-aware-1.0,1.0,1000.0,95581.0,211.0,0.21237217044490042,94425.0
mixed,16,LRU,0.0,1000.0,97526.0,215.0,0.1932666060054595,96773.0
mixed,16,upstream-LCP,0.0,1000.0,86754.0,199.04999999999995,0.2823724046653983,86001.0
mixed,16,cost-aware-0.25,0.25,1000.0,93564.0,206.0,0.22604020183638018,92214.0
mixed,16,cost-aware-0.5,0.5,1000.0,93564.0,206.0,0.22604020183638018,92214.0
mixed,16,cost-aware-1.0,1.0,1000.0,93564.0,206.0,0.22604020183638018,92214.0
mixed,17,LRU,0.0,1000.0,98195.0,228.0999999999999,0.1971563826047143,97901.0
mixed,17,upstream-LCP,0.0,1000.0,88226.0,214.04999999999995,0.2786630583195022,87932.0
mixed,17,cost-aware-0.25,0.25,1000.0,97480.0,221.04999999999995,0.203002232051607,96291.0
mixed,17,cost-aware-0.5,0.5,1000.0,97480.0,221.04999999999995,0.203002232051607,96291.0
mixed,17,cost-aware-1.0,1.0,1000.0,97480.0,221.04999999999995,0.203002232051607,96291.0
