backend,policy,trial,request,kind,ttft_ms,tpot_ms,total_ms,prompt_tokens,completion_tokens,output_tps,burst_ms
cuda,cacheflow,2,5,short_decode,57.63759999899776,12.030978723409948,623.0935999992653,393,48,83.11875725074589,840.6451000009838
cuda,cacheflow,2,6,long_prefill,70.62930000029155,8.317899999903082,128.85459999961313,720,8,120.22265235355698,840.6451000009838
cuda,cacheflow,2,7,short_decode,23.769699999320437,9.238759574493978,457.9914000005374,393,48,108.23963887541382,840.6451000009838
cuda,cacheflow,3,0,long_prefill,36.86240000024554,12.843142857101546,126.76439999995637,790,8,77.86256145605789,558.6450999999215
cuda,cacheflow,3,1,short_decode,77.84990000072867,11.600037499950608,356.25079999954323,393,25,86.20661786690414,558.6450999999215
cuda,cacheflow,3,2,long_prefill,75.8600999997725,8.406957142921913,134.7088000002259,630,8,118.94910167847496,558.6450999999215
cuda,cacheflow,3,3,short_decode,76.2682999993558,10.051177500008635,478.3153999997012,393,41,99.4908308005844,558.6450999999215
cuda,cacheflow,3,4,long_prefill,94.05429999969783,6.580385714447142,140.11700000082783,720,8,151.96677571719152,558.6450999999215
cuda,cacheflow,3,5,short_decode,64.04850000035367,9.794279166650691,299.11119999997027,393,25,102.10041831408873,558.6450999999215
cuda,cacheflow,3,6,long_prefill,60.29390000003332,10.338028571433304,132.66010000006645,720,8,96.73024146627563,558.6450999999215
